"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1169659617879703555""",https://twitter.com/twitter/status/1169659617879703555,"2019-09-05 17:12:38","""@lane_bandito BFFs 💙""",Reply,"Twitter Web App",8,200,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169658803492663296""",https://twitter.com/twitter/status/1169658803492663296,"2019-09-05 17:09:24","""@HaajiYaska That's usually how it works""",Reply,"Twitter Web App",1,65,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169658742473940992""",https://twitter.com/twitter/status/1169658742473940992,"2019-09-05 17:09:10","""@ArthursHorse Your wish is our command""",Reply,"Twitter Web App",4,207,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169658690569482241""",https://twitter.com/twitter/status/1169658690569482241,"2019-09-05 17:08:57","""@ben10sonyeontan cc: @BTS_twt""",Reply,"Twitter Web App",239,1054,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169658596382187521""",https://twitter.com/twitter/status/1169658596382187521,"2019-09-05 17:08:35","""@I_M_RTI sending hugs""",Reply,"Twitter Web App",1,58,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169658084710649856""",https://twitter.com/twitter/status/1169658084710649856,"2019-09-05 17:06:33","""@Emojipedia 🤗🤗🤗""",Reply,"Twitter Web App",4,145,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169657752609857536""",https://twitter.com/twitter/status/1169657752609857536,"2019-09-05 17:05:14","""@frayxxherondale everyone.""",Reply,"Twitter Web App",14,132,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169657656690262018""",https://twitter.com/twitter/status/1169657656690262018,"2019-09-05 17:04:51","""@eddiek005 xoxo""",Reply,"Twitter Web App",0,71,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169657117843828736""",https://twitter.com/twitter/status/1169657117843828736,"2019-09-05 17:02:42","""hugs!""",Tweet,"Twitter Web App",39137,138337,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
"""1169648692351160327""",https://twitter.com/twitter/status/1169648692351160327,"2019-09-05 16:29:13","""@hoesokjin They said happy birthday to YOU""",Reply,"Twitter Web Client",11,142,"""783214""","""Twitter""",twitter,Verified,https://twitter.com/twitter,"Not Protected"
